"longitude","latitude","attack_type","location_description","nearest_country","eez_country","shore_distance","shore_longitude","shore_latitude","attack_description","vessel_name","vessel_type","vessel_status","data_source"
103.4,1.1833333,"Attempted","STM-INDO","IDN","IDN",5.97518386265321,103.389821811,1.13027578300006,NA,"Joyama Maru",NA,NA,"mappingpiracy"
103.45,1.1666667,"Boarded","STM-INDO","IDN","IDN",7.81349215560604,103.389821811,1.13027578300006,NA,"Hellespont P",NA,NA,"mappingpiracy"
104.0833,1.2333333,"Boarded","Singapore Straits","IDN","IDN",5.09846469072393,104.090586785,1.18781159100007,NA,"Bophuthatbwana",NA,NA,"mappingpiracy"
103.3167,1.25,"Boarded","STM-INDO","IDN","IDN",14.2591534904522,103.366465691,1.13117096600007,NA,"Aries Has",NA,NA,"mappingpiracy"
116.95,-1.3666667,"Boarded","Indonesia","IDN","IDN",14.0408161123785,116.957692905,-1.23992278399993,NA,"Timur Endurance",NA,NA,"mappingpiracy"
106.9025,-6.0976667,"Boarded","Tanjung Priok Roads, Indonesia","IDN","IDN",7.19038121922267,106.837738477,-6.10271575299993,NA,"Ikan Beliak",NA,NA,"mappingpiracy"
98.7007,3.7836667,"Boarded","Belawan Roads, Indonesia","IDN","IDN",2.48206860810119,98.710622592,3.80377838700008,NA,"Bangkok Navee",NA,NA,"mappingpiracy"
98.7007,3.7836667,"Boarded","Outer Anchorage, Dar Es Salaam, Tanzania","IDN","IDN",2.48206860810119,98.710622592,3.80377838700008,NA,"Finnwood",NA,NA,"mappingpiracy"
98.7007,3.7836667,"Boarded","Belawan, Indonesia","IDN","IDN",2.48206860810119,98.710622592,3.80377838700008,NA,"Nordstar",NA,NA,"mappingpiracy"
98.7007,3.7836667,"Boarded","Belawan Roads, Indonesia","IDN","IDN",2.48206860810119,98.710622592,3.80377838700008,NA,"Ocean GR",NA,NA,"mappingpiracy"
117.5667,0.0833333,"Boarded","Indonesia","IDN","IDN",8.35647160761022,117.517263217,0.140204169000071,NA,"Pacific Gas",NA,NA,"mappingpiracy"
